stem;stoi_noisy
p257_199;0.5600160221092123
p257_291;0.6034460169527235
p232_113;0.6869781051597807
p257_050;0.6396568096021393
p257_070;0.6983088949615084
p257_090;0.6636956798670223
p257_094; 0.6835276828233388
p257_151;0.672107629226727
p257_291;0.6034460169527235
p232_113;0.6869781051597807
p257_050;0.6396568096021393
p257_070;0.6983088949615084
p257_090;0.6636956798670223
p257_094;0.6835276828233388
p257_151;0.672107629226727
p257_291;0.6034460169527235
p232_113;0.6869781051597807
p257_050;0.6396568096021393
p257_070;0.6983088949615084
p257_090;0.6636956798670223
p257_094;0.6835276828233388
p257_151;0.672107629226727
p257_291;0.6034460169527235
